iter	RMSE
0	11.2027539
1	10.19131092
2	9.296337939
3	8.488659855
4	7.749337332
5	7.106228724
6	6.517248909
7	6.001873675
8	5.534515482
9	5.120962581
10	4.743912897
11	4.418104031
12	4.121598439
13	3.868441176
14	3.635434178
15	3.43483993
16	3.254560458
17	3.099452196
18	2.956307613
19	2.8283096
20	2.717837539
21	2.615774525
22	2.534487848
23	2.460235075
24	2.385551128
25	2.311783559
26	2.247642413
27	2.203513847
28	2.15913335
29	2.116855467
30	2.076856018
31	2.03004313
32	2.002281479
33	1.961218609
34	1.926136973
35	1.895622143
36	1.872327787
37	1.840130987
38	1.817744291
39	1.799952252
40	1.777515251
41	1.75941092
42	1.733332944
43	1.711676042
44	1.695760018
45	1.674729564
46	1.653224311
47	1.638212011
48	1.620322894
49	1.599984544
50	1.581862478
51	1.562783297
52	1.546284393
53	1.531044071
54	1.521435754
55	1.499274017
56	1.485654685
57	1.474373042
58	1.458585571
59	1.444637367
60	1.426262842
61	1.415133136
62	1.402245076
63	1.388616849
64	1.376042648
65	1.362897716
66	1.352723703
67	1.346569643
68	1.33696142
69	1.325657281
70	1.30991181
71	1.300465527
72	1.292971557
73	1.281420346
74	1.271695568
75	1.265042478
76	1.257370845
77	1.244085149
78	1.234414602
79	1.229724567
80	1.220548907
81	1.214456369
82	1.204115379
83	1.199083406
84	1.190955463
85	1.184775547
86	1.175030923
87	1.166965077
88	1.160557049
89	1.15457586
90	1.150743377
91	1.143232802
92	1.138710843
93	1.132320834
94	1.125619638
95	1.119528337
96	1.113861413
97	1.109151714
98	1.101684205
99	1.09851399
100	1.095412826
101	1.091482266
102	1.085660102
103	1.075923934
104	1.072203046
105	1.069495673
106	1.065601154
107	1.05898835
108	1.054660233
109	1.050440286
110	1.045710496
111	1.040597921
112	1.037062036
113	1.033863384
114	1.029844298
115	1.025310204
116	1.018050164
117	1.013277379
118	1.009941172
119	1.008366881
120	1.005175131
121	1.000109612
122	0.9981564723
123	0.996870253
124	0.9935831546
125	0.9859541989
126	0.9840307396
127	0.978900125
128	0.9777797764
129	0.973505227
130	0.9686605353
131	0.9674746041
132	0.9643022884
133	0.9630911334
134	0.9588571992
135	0.9549210408
136	0.9525910919
137	0.950225667
138	0.9442456675
139	0.9405329881
140	0.9382427698
141	0.9343421705
142	0.9327296828
143	0.9283030142
144	0.9252912665
145	0.9219817014
146	0.9181279884
147	0.9146375304
148	0.9135918701
149	0.9127562254
150	0.911033193
151	0.9093093195
152	0.9041891627
153	0.9007633996
154	0.8972987007
155	0.895705829
156	0.8948846995
157	0.8910625713
158	0.8879220085
159	0.8855592033
160	0.8834114384
161	0.8827853424
162	0.881140457
163	0.8754197715
164	0.8713934352
165	0.8693094571
166	0.8660571691
167	0.865574326
168	0.8613356262
169	0.8591322527
170	0.8571523571
171	0.8541263391
172	0.8506203269
173	0.8479937837
174	0.8468944331
175	0.844988373
176	0.8437333508
177	0.8424345213
178	0.8387607426
179	0.8344852284
180	0.8333914994
181	0.8302748951
182	0.8296461767
183	0.8269411086
184	0.8226143102
185	0.8184176529
186	0.8151586333
187	0.812454769
188	0.8120174697
189	0.805737153
190	0.8024945865
191	0.8012218105
192	0.8000264814
193	0.798332654
194	0.796745008
195	0.7963662254
196	0.7950563953
197	0.7906996919
198	0.7892422937
199	0.7856965776
200	0.7829921202
201	0.7816874158
202	0.77750637
203	0.7738556626
204	0.7704304664
205	0.7689889801
206	0.7687034607
207	0.7663179169
208	0.7652780833
209	0.7630527048
210	0.7613837508
211	0.7608319854
212	0.7586023382
213	0.756840903
214	0.7562407425
215	0.7544549079
216	0.7526767436
217	0.7519833052
218	0.7501836212
219	0.7496916145
220	0.7477105919
221	0.7456214115
222	0.7433341656
223	0.7409248989
224	0.7394692711
225	0.7374637189
226	0.7349090757
227	0.7346723576
228	0.7325725948
229	0.7314426759
230	0.7308072218
231	0.7299360852
232	0.7289475295
233	0.7255419364
234	0.7252031003
235	0.7238685076
