iter	Passed	Remaining
0	79	39623
1	157	39258
2	237	39404
3	316	39216
4	393	38998
5	472	38871
6	548	38619
7	626	38558
8	703	38368
9	779	38215
10	854	38004
11	930	37830
12	1007	37756
13	1096	38051
14	1175	38006
15	1254	37934
16	1328	37742
17	1405	37631
18	1481	37497
19	1559	37422
20	1635	37312
21	1709	37145
22	1784	37004
23	1861	36929
24	1939	36859
25	2018	36805
26	2096	36719
27	2175	36667
28	2253	36598
29	2327	36460
30	2404	36375
31	2479	36269
32	2556	36181
33	2633	36090
34	2709	35991
35	2785	35902
36	2859	35782
37	2936	35698
38	3015	35645
39	3094	35583
40	3171	35506
41	3246	35399
42	3332	35413
43	3407	35314
44	3485	35241
45	3557	35113
46	3634	35029
47	3709	34931
48	3787	34859
49	3864	34782
50	3941	34699
51	4016	34600
52	4095	34540
53	4173	34468
54	4251	34397
55	4344	34444
56	4421	34366
57	4498	34278
58	4572	34178
59	4650	34100
60	4724	34000
61	4801	33920
62	4877	33829
63	4953	33743
64	5030	33668
65	5106	33582
66	5183	33496
67	5262	33431
68	5343	33375
69	5420	33294
70	5493	33194
71	5571	33120
72	5649	33046
73	5728	32979
74	5805	32898
75	5881	32810
76	5977	32836
77	6055	32763
78	6134	32690
79	6209	32601
80	6285	32512
81	6361	32428
82	6439	32355
83	6514	32259
84	6599	32222
85	6673	32124
86	6755	32070
87	6832	31990
88	6913	31927
89	6995	31869
90	7067	31766
91	7145	31688
92	7223	31612
93	7299	31528
94	7375	31442
95	7452	31361
96	7530	31287
97	7610	31216
98	7686	31135
99	7773	31093
100	7849	31008
101	7923	30918
102	8002	30845
103	8080	30769
104	8161	30701
105	8238	30621
106	8312	30531
107	8388	30448
108	8468	30376
109	8547	30303
110	8625	30229
111	8702	30147
112	8775	30055
113	8850	29967
114	8925	29881
115	8999	29792
116	9076	29712
117	9154	29635
118	9235	29569
119	9313	29493
120	9392	29418
121	9466	29329
122	9540	29241
123	9614	29152
124	9700	29102
125	9778	29024
126	9854	28942
127	9934	28871
128	10013	28798
129	10091	28721
130	10166	28637
131	10244	28560
132	10320	28477
133	10397	28399
134	10475	28322
135	10553	28246
136	10633	28175
137	10709	28092
138	10785	28010
139	10859	27923
140	10937	27848
141	11014	27769
142	11094	27696
143	11173	27622
144	11249	27541
145	11326	27462
146	11406	27392
147	11485	27317
148	11573	27263
149	11656	27197
150	11730	27112
151	11804	27027
152	11885	26956
153	11961	26875
154	12037	26792
155	12112	26710
156	12191	26635
157	12272	26564
158	12345	26477
159	12421	26396
160	12496	26312
161	12573	26233
162	12650	26155
163	12727	26075
164	12800	25988
165	12875	25905
166	12950	25823
167	13025	25741
168	13103	25664
169	13180	25585
170	13257	25506
171	13332	25424
172	13408	25343
173	13485	25266
174	13561	25186
175	13635	25100
176	13713	25024
177	13791	24949
178	13867	24867
179	13939	24780
180	14016	24702
181	14092	24622
182	14169	24545
183	14241	24458
184	14321	24385
185	14400	24311
186	14482	24241
187	14559	24162
188	14635	24082
189	14708	23998
190	14782	23915
191	14856	23833
192	14926	23743
193	15001	23662
194	15077	23582
195	15157	23509
196	15240	23441
197	15315	23360
198	15389	23277
199	15463	23195
200	15538	23114
201	15612	23032
202	15687	22951
203	15759	22867
204	15837	22790
205	15923	22726
206	15997	22643
207	16071	22562
208	16146	22481
209	16225	22405
210	16282	22302
211	16367	22235
212	16447	22161
213	16519	22077
214	16598	22002
215	16665	21912
216	16743	21836
217	16823	21762
218	16899	21684
219	17020	21662
220	17100	21587
221	17180	21514
222	17262	21442
223	17344	21370
224	17427	21300
225	17508	21227
226	17589	21153
227	17684	21097
228	17761	21019
229	17842	20945
230	17921	20869
231	18002	20796
232	18084	20723
233	18159	20643
234	18245	20574
235	18319	20493
236	18400	20418
237	18479	20342
238	18552	20260
239	18628	20180
240	18702	20099
241	18771	20012
242	18848	19934
243	18922	19852
244	19001	19777
245	19080	19701
246	19159	19625
247	19243	19554
248	19319	19474
249	19398	19398
250	19481	19326
251	19561	19250
252	19636	19170
253	19715	19094
254	19790	19014
255	19867	18936
256	19942	18856
257	20025	18783
258	20101	18704
259	20180	18627
260	20259	18551
261	20335	18473
262	20411	18393
263	20485	18312
264	20565	18237
265	20644	18160
266	20717	18079
267	20801	18007
268	20880	17930
269	20959	17854
270	21033	17774
271	21110	17695
272	21191	17620
273	21267	17541
274	21341	17461
275	21421	17385
276	21500	17308
277	21577	17231
278	21657	17155
279	21731	17074
280	21817	17003
281	21894	16925
282	21970	16846
283	22048	16769
284	22124	16690
285	22201	16612
286	22292	16544
287	22349	16451
288	22443	16386
289	22529	16314
290	22584	16220
291	22665	16145
292	22746	16069
293	22827	15994
294	22913	15922
295	22989	15844
296	23065	15765
297	23141	15686
298	23216	15607
299	23292	15528
300	23381	15458
301	23459	15381
302	23536	15302
303	23609	15221
304	23686	15143
305	23748	15056
306	23823	14976
307	23900	14899
308	23990	14829
309	24072	14753
310	24152	14677
311	24228	14599
312	24304	14520
313	24383	14443
314	24460	14365
315	24547	14293
316	24626	14216
317	24702	14138
318	24781	14060
319	24862	13984
320	24939	13906
321	25014	13828
322	25092	13750
323	25166	13670
324	25244	13592
325	25321	13515
326	25398	13437
327	25478	13360
328	25551	13280
329	25627	13202
330	25707	13125
331	25783	13046
332	25860	12969
333	25948	12896
334	26007	12809
335	26086	12732
336	26161	12653
337	26217	12565
338	26295	12488
339	26371	12409
340	26445	12330
341	26520	12252
342	26595	12173
343	26672	12095
344	26727	12008
345	26804	11930
346	26876	11850
347	26955	11773
348	27031	11695
349	27108	11617
350	27185	11540
351	27260	11461
352	27339	11385
353	27409	11304
354	27483	11225
355	27558	11147
356	27636	11070
357	27726	10997
358	27804	10920
359	27883	10843
360	27970	10769
361	28045	10691
362	28119	10612
363	28196	10534
